Category,Total,Space_Heating,Cooling,Ventilation,Water_Heating,Lighting,Cooking,Refrigeration,Office_Equipment,Computing,Other
5 to 9,64.6,23,6.9,5.3,3.7,6.6,14.8,5.7,0.5,1.3,11.5
10 to 19,68.6,25.2,6.2,6.3,5.1,6.8,17.7,6,0.5,1.6,8.3
20 to 49,76.4,24.3,6.8,7.2,4.2,8.2,15.3,5.7,0.5,4.6,10.4
50 to 99,78.2,26.9,7.1,8.2,4.1,8.4,8.7,4.9,0.5,2.5,13.3
100 to 249,83,26.1,7.2,10.9,3.9,10,10.1,3.9,0.6,2.7,12.5
250 or more,96.8,28.3,7,16,4.5,9.1,9.8,2.2,0.8,6.5,17.2
Fewer than 40,40.6,20.4,5.9,1.7,1.3,3.4,6.3,3.1,0.5,1.8,7.9
40 to 48,50.5,20.4,5.8,4.3,1.8,5.4,5.4,2.2,0.5,2.2,9.7
49 to 60,55.6,22.1,5.6,5.8,2.2,6.5,6.2,2.6,0.5,3.2,8.1
61 to 84,80.9,28.8,7,7.9,3.6,9.3,15.5,5.7,0.6,2.5,11.8
85 to 167,99.6,31.2,8.7,9.8,4,11.4,21.7,12.1,0.5,1.5,13.7
Open continuously,106.8,28.8,9.1,16.5,9.7,9.7,13.2,5.4,0.5,5.9,17.5
Nongovernment owned,71.3,23.6,6.5,8.3,4.1,7.9,13.8,5.4,0.5,3.1,11.3
Owner occupied,71.5,24.8,6.9,8.4,4.1,7.3,11.9,5.3,0.5,2.8,11.5
Leased to tenant or tenants,72.3,21.7,6,8.4,4.1,9,17.7,5.5,0.6,3.6,11.1
Unoccupied,15.8,21,6,0,Q,Q,Q,Q,Q,Q,4.1
Government owned,72.5,29.5,8.4,6.7,3.5,6.4,5.5,2.9,0.5,3,11.8
Federal,81.6,31.1,6.6,12,1.9,9.6,7.7,1.5,0.5,4.4,13.8
State,84.3,32.8,10.1,7.5,5,6.6,7.9,3.6,0.6,3,15.6
Local,64.8,27.5,7.9,5.5,2.9,5.9,4.2,2.7,0.5,2.9,9.5
Building owner,71.2,25.5,7,8.1,3.8,7.2,10,4.4,0.5,3.1,11.6
Business owner or tenant,72.9,24.2,6.3,6.4,4.1,8.8,24.4,7.2,0.5,2.9,9.8
Property management,73.9,17.2,7.3,10.1,5.8,9,10.9,5.6,0.7,2.9,12.1
Other,73.7,19.3,7.4,8.5,5.4,9.2,9.5,3.8,0.7,4.2,12.5
Building owner,71,25.3,7,8.1,3.8,7.3,10.2,4.5,0.5,3.1,11.5
Business owner or tenant,79.6,24.3,6.5,6.6,4.5,9.5,26.1,7.9,0.5,3.6,10.8
Property management,81.4,21.1,6.1,9.4,7.3,10.3,14,7.7,0.7,2.5,12.5
Other,67.1,21.5,6.6,7.9,4.4,7.9,12,4.1,0.6,3.2,10.8
1,69.5,25.5,7.2,7,4.1,6.9,11,4.7,0.5,3,11.5
2 to 5,73.7,24.6,6.9,8.8,3.4,8.1,12.2,5,0.5,2.8,11.3
6 to 10,79.2,24.4,5.4,10.2,4.2,9.7,12.8,5.7,0.7,3.9,11
11 to 20,87.6,24.7,6.5,12,4.8,11,15.2,5.3,0.8,3.5,12.7
More than 20,80,21.3,5.6,13,3.7,10.4,8.9,3.1,0.9,5.3,11
Currently unoccupied,18.9,21.8,5.6,Q,Q,Q,Q,Q,Q,Q,5.8
"Brick, stone, or stucco",78.6,26.7,7.6,8.6,4.7,7.4,12.4,4.6,0.6,3,11.5
Concrete (block or poured),74.9,24.5,7.3,8.5,3.7,8.5,11.2,6.2,0.5,3.3,11.2
Concrete panels,64.1,22.6,5.2,7.1,2.6,7.7,8.2,3.2,0.5,4.8,10.8
Siding or shingles,66.2,23.1,5.5,6.1,6,7.3,9.6,6.3,0.6,1.9,15
Metal panels,43.5,21.5,5.7,3.9,1.3,6.2,5.7,3.6,0.3,1,9.1
Window glass,85,25.9,7,12.7,2.5,7.7,10.4,2.5,0.7,6.4,15.2
Other,71.5,20,5.1,11.4,3,7.6,12,5.4,0.5,6,11
Metal surfacing,50.8,21.3,7.1,4.2,2,6.3,10.9,4.9,0.4,1.3,9.8
Synthetic or rubber,82.2,27.2,6.6,9.9,3.9,8.5,11.6,5.4,0.6,3.6,12.4
Built-up,80.1,27.3,7.5,9.4,4.6,7.9,12,4.4,0.6,4.1,11.2
Slate or tile shingles,68.4,21.6,7.8,6.4,5.2,6.2,16.1,5.1,0.6,1.8,10.2
"Wooden materials (including
shingles)",62.7,19,7.2,6.9,6.9,6.5,21.9,6.1,0.6,1.2,8.8
"Asphalt, fiberglass, or 
other shingles",66.2,24.2,6.2,6.7,5.1,6.9,8.5,3.4,0.6,2.2,10.6
Concrete,84,21.6,8.9,10.3,5.5,8,9.5,3.3,0.8,Q,17.7
Other,67.9,19.3,6.9,7,2.9,7.1,11.1,5,0.6,2.7,14.7
Flat,81.8,26.6,7.3,9.9,4.4,8.4,12.4,4.8,0.6,3.9,12.6
Shallow pitch,58.4,22.4,6.5,5.3,3.2,6.8,10.5,4.8,0.5,2.3,9.6
Steeper pitch,57.9,22.9,6.3,5.2,3.7,5.6,8.5,4.5,0.5,1.3,10.2
White or reflective coating or paint,76.8,24.1,7.4,9.2,3.9,8.3,13.5,5,0.6,3.1,12.8
White or reflective tiles or shingles,81.9,24.5,8.7,8.6,4.6,7.5,10.1,6.1,0.5,Q,13.6
Aluminum coating,58.1,19.3,7.4,5.8,3.4,7.2,15.5,6.3,0.4,1.7,9.3
Ballasted roof system,87.4,29.5,6.7,10.3,4.3,7.3,13.2,3.1,0.5,5.3,14.4
Other cool roof property,79.6,22.5,7.3,11.5,4.1,8.7,8.3,4.4,0.5,4.6,11.7
Any type of renovation,77.3,27.3,6.7,9.2,4.2,7.7,10.5,4.3,0.6,3.3,11.4
Addition or annex,86.1,33.2,7.2,9.8,4.6,7.6,10.4,4.4,0.5,2.7,12
Reduction in floorspace,86.2,31,7.1,11.8,3.8,8.9,8.6,4.3,0.6,3.6,11.7
Roof replacement,78,27.2,6.6,9.1,4.6,7.5,11.2,4.2,0.6,3.3,11.6
Interior wall reconfiguration,78.6,27.9,6.3,10.3,3.5,7.8,9.8,3.3,0.6,3.9,11.8
Window replacement,78.9,29.5,5.8,9.2,4.3,7.5,10.9,3.9,0.5,2.9,10.6
HVAC equipment upgrade,80.1,27.8,6.7,9.8,4.3,7.7,10.3,4.1,0.6,3.6,11.9
Lighting upgrade,80.5,27.8,6.4,10,4.2,7.8,10.6,4.4,0.6,3.8,11.9
Electrical upgrade,85.6,29.5,6.9,10.3,4.4,7.8,12.5,4.2,0.6,4.2,12.6
Plumbing system upgrade,83.7,29.2,6.8,10.5,4.6,7.6,10.7,3.9,0.6,3.7,12.2
Insulation upgrade,83.1,29.6,6.6,10.1,4.2,7.7,11.6,3.7,0.5,3.6,12.7
"Fire, safety, or security upgrade",83,28.8,6.7,10.1,4.7,7.8,10.5,3.8,0.6,3.8,12.4
Structural upgrade,93.6,31.6,5.9,11.1,6.1,8,13.2,4.3,0.6,5.2,14.7
Other,88.8,23.4,9,17,1.7,11.5,12,3.2,0.5,2.3,13.5
No renovations,65.9,23.1,7.2,6.6,3.8,7.4,12.3,5.1,0.5,3,11.2
Buildings constructed 2013 or later,69.2,21.2,7.1,7.8,3.8,7.2,14.3,6,0.5,2.2,12.7
Electricity,71.6,25,7,8,4,7.5,11.4,4.8,0.5,3.1,11.4
Natural gas,80.4,28.2,6.4,8.5,4.5,7.9,12.8,4.8,0.5,2.9,11.4
Fuel oil,92.4,28.7,7.4,11.6,4.7,8.3,10.1,4.1,0.6,6.9,16.4
District heat,116.5,43.5,7.2,14.3,7.4,8.4,10.9,2.9,0.8,5.5,24.3
District chilled water,111.3,40.5,3.2,12.2,6.7,8.3,11.8,3.3,0.8,6.5,27.4
Propane,58.9,18.9,5.5,5.8,3.8,6.7,11.7,6.3,0.4,1.8,11.5
Solar,77.6,26,6.2,9.5,3.9,8.1,11.8,5,0.5,2.7,10.3
"Wood, coal, and other",68.9,23.2,6.5,6,3.5,7.8,22,5.3,0.5,3.1,9.8
Electricity,72.4,17.3,7.3,8.2,5,8.3,13.1,5.4,0.6,3.3,12
Natural gas,78.4,29.6,6.1,8.2,3.8,7.9,11.4,4.7,0.5,2.6,10.1
Fuel oil,77.7,34.7,4.5,8,3.2,7,6,3.8,0.5,2.5,12.5
District heat,114.9,43.8,7.1,13.9,7,8.3,10.7,2.8,0.7,5.5,23.1
Propane,46.8,11.6,4.9,5.7,4.3,5.5,Q,6.4,0.4,1.5,8.2
Other sourcesc,36.7,18.9,4.1,3.5,0.4,5.9,Q,2.3,0.4,1.2,7
Electricity,63.2,8.1,8.3,7.7,5.2,7.9,13.6,5.5,0.6,3.8,12.4
Natural gas,77.8,31.9,6,8,3.1,7.7,10.8,4.4,0.5,2.3,9.6
Fuel oil,62.2,33.7,3.4,3.9,2.4,5.7,2.5,3.5,0.4,1.4,8.7
District heat,116.1,44.5,7.2,13.9,7,8.4,10.2,2.8,0.8,5.7,23.7
Propane,31.8,4.8,5.2,4.2,2,5.3,4.9,7.1,0.4,1.1,7.3
Other sourcesc,22.1,Q,Q,2.5,Q,4.4,Q,Q,0.4,0.7,6.3
Electricity,73.4,24.3,6.9,8.2,4,7.9,11.5,4.9,0.6,3.3,10.2
Natural gas,106.6,34.6,13.1,12.6,6.1,8.8,9.8,3.3,0.4,2,17.6
District chilled water,111.3,40.5,3.2,12.2,6.7,8.3,11.8,3.3,0.8,6.5,27.4
Electricity,67.6,20.2,6.9,7.5,2.8,8,11.4,4.9,0.6,3.4,11.4
Natural gas,85.4,29.3,6.9,9,5.5,8.1,13,5.5,0.6,3.1,11
Fuel oil,87.5,40.7,5.3,10.2,3.5,7.3,6.2,3.1,0.5,3.5,11.8
District heat,117.1,45,7.3,15.5,7.5,8.3,9.2,2.6,0.8,3.6,24.5
Propane,72.3,17.1,9,6.4,4.9,7,8.3,10.2,0.6,1.6,Q
Electricity,90.6,28,6.9,10.1,5.6,8.4,10.6,6.5,0.6,2.7,12.9
Natural gas,102.5,30.3,7.8,11.2,6.2,8.9,16,7,0.6,2.8,12.3
Propane,73.4,23.8,7.8,6.6,5.6,8.4,10.3,8.8,0.5,1.9,10.3
Buildings with space heating,74.1,25,6.7,8.1,4,7.7,11.3,4.7,0.5,2.9,11.4
Buildings with cooling,74.5,24.8,7,8.3,4.1,7.9,11.4,4.9,0.6,3.2,10.9
Buildings with water heating,75.1,25.5,6.9,8.2,4,7.7,11.4,4.8,0.6,3.2,11.5
Buildings with cooking,90.7,27.9,7.4,10,5.7,8.2,11.4,6.4,0.6,2.6,12.4
Buildings with manufacturing,70.4,26.9,4.5,6.7,1.7,7.6,10.5,6.6,0.4,1.6,15.9
"Buildings with electricity
generation",92.4,28.2,7.5,11.2,5,8.6,10.2,4.5,0.6,5.7,16.8
Buildings with lighting ,72,25,6.9,8,4,7.5,11.4,4.8,0.5,3.1,11.4
Not heated,35.6,N,14.1,4.5,3.2,5.3,15.3,7.6,0.4,7.7,12
1% to 50%,41.6,9.1,5.1,4.4,1.9,5.9,13,5.1,0.3,2.9,7.1
51% to 99%,79.2,24,6.7,9.5,4.8,8.2,13.3,5.7,0.6,2.6,11.6
100%,78.3,28.2,7,8.2,4.1,7.8,10.4,4.2,0.6,3.1,12
Not cooled,37.1,29,N,0.7,1.2,3.4,7.3,2.1,0.1,0.3,17.3
1% to 50%,43.5,20.8,3.1,3.3,1.7,5.8,6.2,2.7,0.3,0.9,6.2
51% to 99%,83.7,27.3,7,9.9,4.5,8.2,11,5.6,0.6,4.1,11.9
100%,83.3,25.1,8.8,9.6,4.9,8.6,12.9,5.3,0.7,3.7,12.5
0,Q,Q,Q,Q,Q,N,N,Q,Q,Q,Q
1% to 50%,42.4,19.6,6.1,3.9,2.2,3,6.2,2.8,0.3,2.2,7.2
51% to 99%,80.2,26.4,6.8,9.1,4.6,8,11.9,5,0.6,3.3,12.3
100%,76,25.4,7.4,8.4,3.9,8.8,12,5.1,0.6,3.2,12.2
"Building never open or electricity
not used",22.4,20.3,5.6,0.1,Q,3.5,Q,Q,Q,Q,6
0,42.3,20,6.5,3.2,1.8,4,9.9,3.6,0.4,1.2,8.6
1% to 50%,72.3,25.2,6.8,8.1,3.6,7.5,11,4.5,0.6,2.9,11
51% to 100%,114,30.5,8.8,14.2,9,13,13.1,7,0.6,8.5,19.7
"Building always open with 
no off hours",114,27.5,8.8,13.5,11,14.6,18.8,10,0.5,4.6,16.4
Electricity not used,N,N,N,N,N,N,N,N,N,N,N
Packaged heating units,76.3,22.6,7.1,8.4,4.3,8.3,14.5,6,0.6,2.4,11
Furnaces,68.7,27.1,5.1,6.1,4.3,7.6,13.4,5.7,0.6,2,8.3
Individual space heaters,72,24.6,5.6,6.8,4.8,7.8,12.5,4.5,0.5,3.5,10
Boilers,84.9,32,6.7,9.5,4.4,7.6,9.3,3.3,0.5,3.1,12.8
Heat pumps,76.7,18.1,7.3,9.1,6,8.8,12.3,4.5,0.7,4.1,11.3
District heat,114.9,43.8,7.1,13.9,7,8.3,10.7,2.8,0.7,5.5,23.1
Duct reheat,85,21.2,6.9,11.7,4.6,9.4,11.7,4.8,0.7,4.8,14.5
Other,173.9,31.7,5.8,10.8,7.6,15,27.1,31,0.7,1,Q
Packaged air-conditioning units,76.6,24.5,6.9,8.5,4.1,8.4,13.2,5.7,0.6,3.2,10.5
"Residential-type central air
conditioners",72.5,28.2,5.9,7.1,4.3,7.4,10.4,4.7,0.6,2.9,9.2
Individual air conditioners,78.2,26.8,6.3,7.7,7.4,8.3,11.3,4.5,0.5,2.7,10.4
Central chillers,93.6,30.4,9,12.8,4.2,8.3,8.8,3.1,0.6,6,14
Heat pumps,73.9,19.5,6.4,9.2,5.2,7.9,11.3,3.7,0.6,4.5,11.4
District chilled water,111.3,40.5,3.2,12.2,6.7,8.3,11.8,3.3,0.8,6.5,27.4
Swamp coolers,78.8,23.6,6.5,7.4,5.2,8,19.2,8.6,0.5,2.4,9.2
Other,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
Economizer cycle,88.5,29.5,6.9,11,4.6,8.1,10.2,4.5,0.6,4.8,13.5
Variable air volume (VAV) system,86.1,29,7.8,10.5,4,7.9,10.3,3.3,0.6,4.7,14.7
Dedicated outside air system (DOAS),97.7,29.5,7.3,11.3,5.7,8,13.4,6,0.7,4.1,18
Demand controlled ventilation (DCV),81.2,30.2,7,8.4,3.3,8,8.7,3.8,0.5,5.6,11.7
Regular HVAC maintenance,77.2,25.6,7.2,8.7,4.2,7.9,11.4,4.9,0.6,3.4,11.8
Building automation system (BAS) controls heating or cooling,88.4,28,7.6,10.8,4.4,8.2,10.3,4.4,0.6,5,14.8
"Internet-connected or smart
thermostat",63.6,19.2,7.2,6.7,3.5,7.3,11.6,6.2,0.5,1.5,9.3
Programmable thermostat,62.1,23.7,6,5.9,3.3,7.2,14.4,4.4,0.5,1.6,7.8
Heating,67.5,23.6,6.1,7.4,3.8,7.4,10.1,4.4,0.6,2.4,9.3
Cooling,71,27.7,6.6,7.9,4.4,7.1,8.8,3.5,0.5,3.1,9
Centralized system,74.5,26.4,6.8,7.8,4,7.3,11.2,4.9,0.5,2.9,11.4
Distributed system,72.5,22.2,6.9,7.3,4.3,8.2,17,5.3,0.5,3.7,11.3
"Combination of centralized and
distributed systems",80.3,24.7,7.3,10.9,3.5,8.8,8.8,4.2,0.6,3.8,12.2
Reciprocating engine generators,94.2,28.7,7.7,11.4,4.9,8.4,10,4.3,0.6,6.3,17.6
Solar panels,76.9,25.5,6.2,9.5,3.8,8.1,11.2,5,0.5,2.7,10.4
Other generation technology,99.5,29.9,5.8,12.8,6.1,10.7,10,3.8,0.8,Q,19.5
Incandescent,87.2,28.9,6.8,9,5.3,10.9,13.9,4.9,0.7,3.5,12.4
Standard fluorescent,73,25.5,6.9,8.2,4.1,7.5,11.1,4.5,0.6,3.3,11.3
Compact fluorescent,86.5,28.6,7.1,10.2,5.3,9,11.6,4.4,0.6,4.2,12.8
High-intensity discharge (HID),87.1,30.3,7.3,10,4,9.8,10.3,3.1,0.5,5.1,13.7
Halogen,90.9,28.5,7.7,9.4,5.9,10.9,14.8,5.5,0.7,3.7,11.9
LED,79.4,25.9,7,9.1,4.5,7.9,11.8,5,0.6,3.7,12.3
Other,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
Any refrigeration,77.6,25.8,6.9,8.5,4.3,7.9,11.5,4.8,0.6,3,11.8
Walk-in units,108.4,30.6,8.4,12.3,6.5,9.5,15.5,9.4,0.6,3,15.8
Cases or cabinets,101.7,29.5,7.7,11.4,5.8,9.3,15.1,8.9,0.6,3.7,14.1
Large cold storage areas,122.9,26.7,7.3,10.4,7.3,9.5,19.6,21,0.6,2.8,26.1
Commercial ice makers,96.7,28.8,8.2,11.2,6.2,8.8,14.3,7,0.6,3,13.4
Residential-type or compact units,74,25.8,6.7,8.2,4.1,7.7,10,3.6,0.6,3,11.3
Vending machines,84.4,27.5,7.2,10.3,4.8,8.8,10.1,4.3,0.6,3.4,13.1
No refrigeration,44.5,20.5,7.3,4.8,2.1,5.8,2.3,N,0.5,4,9.4
Desktop computers,75.4,25.4,6.8,8.4,4,7.9,11.4,4.7,0.6,3.1,11.6
With multiple monitors,79,26.6,6.7,9.7,3.8,8.3,9.9,3.7,0.6,4,12.7
Laptop computers,75.2,25.6,6.7,8.7,4,8,9.7,4,0.6,3.5,11.4
Dedicated servers,79.8,25.8,6.7,9.4,4.1,8.4,10,4.2,0.6,4.7,11.9
Tablets charged in building,81.9,26.4,6.8,9.7,4.3,8.6,11.3,4.4,0.6,4,12.4
Large floor-standing office devicesd,77,26.5,6.6,9.1,4,8.1,8.7,3.4,0.6,3.7,12
Smaller desktop office devicesd,75.2,25.3,6.8,8.5,4,8,11,4.6,0.6,3,11.7
Interactive whiteboards,76.1,26.8,6.7,8.9,4,7.1,6.6,2.4,0.6,4,12
Televisions or video displays,79.5,25.8,7,9.3,4.6,8.3,11,4.6,0.6,3.5,11.9
"Point-of-sale devices or cash
registers",96.4,28.8,7.8,10.9,5.2,9.3,16.2,7.9,0.7,3.1,13.6
"Snack bar, concession stand, or coffee shop",96.8,31,7.3,11.5,5.5,8.3,11.3,6.1,0.6,3.4,13.1
Fast food or small restaurant,104.8,29.7,6.6,14.5,5.8,10.9,13.5,7.4,0.7,3,14
Cafeteria or large restaurant,87.4,30.4,7.5,10.8,5.3,7.8,8.3,3,0.6,3.4,11.9
"Commercial kitchen or
food preparation area",98.4,29.2,8,12.1,6.7,9.2,11.2,6.2,0.6,2.7,13.7
Small kitchen area,73.4,25.5,5.9,8.3,4.8,7.1,6.9,3.7,0.5,2.8,9.8
Server closet,77.5,25.8,6.5,9.3,4.2,8.3,9.9,4.2,0.6,3.1,11.7
Data center,93.2,29.3,6.4,13.2,4.5,8.7,9.5,3.3,0.7,5.5,16.4
Computer-based training room,84.6,28.9,7,10.1,5,8.3,8.9,3.3,0.6,3.8,12.6
Student or public computer center,80.4,28.9,7.5,7.4,5.3,7,9,3.2,0.6,3,11.7
Multipaned windows,76.4,25.8,6.8,8.5,4.2,7.7,11.6,4.9,0.6,3.4,11.8
Tinted window glass,79.5,25.4,7.5,9.1,4.2,8.2,12.6,4.9,0.6,3.7,12
Reflective window glass,86.6,25.9,6.4,10.6,5.1,8.9,13.2,4.7,0.7,5,14.1
External overhangs or awnings,82.5,25.4,7.2,8.6,4.9,8.3,15.7,6.3,0.7,3,11.9
Skylights or atriums,75,24.9,6.4,9.5,3.7,7.7,10,3.9,0.5,3.4,11.8
Light scheduling,86.8,25.8,7,10.9,4.8,8.4,12.8,5.4,0.6,5,13.5
Occupancy sensors,79.6,26.4,6.5,9.8,4.2,7.6,10,4.3,0.6,3.9,13
Multilevel lighting or dimming,93,29.6,7.4,11.6,4.8,7.6,14.3,4.9,0.6,3.8,14.5
Daylight harvesting,88.8,24.5,6.7,12.7,4.1,8.7,10.6,5,0.7,6.5,14.4
Plug-load control,91.3,21.6,8.1,11.2,5,7.3,9.8,4.6,0.7,Q,20.8
Demand responsive lighting,78.1,29.8,6.2,9.2,3.8,7.2,10.2,4.3,0.6,2.5,11.6
Building automation system (BAS) for lighting,87.8,24.7,7.5,11.6,4.2,8.8,11.9,5.9,0.6,4,14.1
Charging stations associated with the building,72.3,21.2,5.8,10,3.9,7.9,11.5,3.9,0.5,3.7,11.4
